ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0005,0,1,좋아요,안전,,,,2.04,0.42,,,
ANAL-211104-0005,1,1,안전문은 잘 달았어요,아기의 안전을 위해,아이가 안전해져요,저렴하고 좋아요,접착력이 좋지않지만 다른것도 비슷하겠죠,,,,,
ANAL-211104-0005,0,1,편의점,좋아요,,,,1.3,1.18,,,
ANAL-211104-0005,1,1,쫀쫀하고 좋아요,로케새송으로 다른상품은 다 왓는데 요상품 못받앗다고 문의드렷엇는데 왜 이것만 편의점에 맡겨주고연락도 안주셧는지 택배기사님이 수하셧네요,싼맛에 쓸만합니다만 두개씩 겹쳐서 쓰셔야 문아래에 손끼임이 방지됩니다,손가락 끼일까봐 샀는데 잘 안빠져서 좋아요 ㅎㅎ,로케새송으로 다른상품은 다 왓는데 요상품 못받앗다고 문의드렷엇는데 왜 이것만 편의점에 맡겨주고ㅠ연락도 안주셧는지 택배기사님이 ㅅㄹ수하셧네요,,,,,
