REVIEW_DOC_NO,ANAL_CODE,CLASSIFY,EMPATHY,EMPATHY_SCORE
RVD-220119-0014791,ANAL-211104-0129,사용성,만족,4
RVD-220119-0014790,ANAL-211104-0053,사용성,행복,5
RVD-220119-0014789,ANAL-211104-0053,사용성,행복,5
RVD-220119-0014788,ANAL-211104-0014,사용성,만족,4
RVD-220119-0014787,ANAL-211104-0152,가격,만족,4
RVD-220119-0014786,ANAL-211104-0152,사용성,만족,4
RVD-220119-0014785,ALL,사용성,중립,3
RVD-220119-0014784,ANAL-211104-0233,사용성,중립,3
RVD-220119-0014783,ANAL-211104-0233,사용성,안타까움,2
RVD-220119-0014782,ANAL-211104-0234,사용성,기쁨,5
RVD-220119-0014781,ANAL-211104-0049,사용성,만족,4
RVD-220119-0014780,ANAL-211104-0049,사용성,만족,4
RVD-220119-0014779,ANAL-211104-0050,사용성,싫음,1
RVD-220119-0014778,ANAL-211104-0049,사용성,창피함,2
RVD-220119-0014777,ANAL-211104-0049,사용성,불안,2
RVD-220119-0014776,ANAL-211104-0049,가격,만족,4
RVD-220119-0014775,ALL,사용성,싫음,1
RVD-220119-0014774,ANAL-211104-0048,사용성,실망,1
RVD-220119-0014773,ANAL-211104-0049,사용성,실망,1
RVD-220119-0014772,ALL,사용성,실망,1
RVD-220119-0014771,ANAL-211104-0049,사용성,만족,4
RVD-220119-0014770,ANAL-211104-0050,사용성,중립,3
RVD-220119-0014769,ANAL-211104-0050,사용성,중립,3
RVD-220119-0014768,ANAL-211104-0055,사용성,고마움,4
RVD-220119-0014767,ANAL-211104-0049,사용성,후회,1
RVD-220119-0014766,ALL,사용성,슬픔,2
RVD-220119-0014765,ALL,사용성,만족,4
RVD-220119-0014763,ANAL-211104-0050,사용성,안타까움,2
RVD-220119-0014762,ANAL-211104-0049,사용성,만족,4
RVD-220119-0014760,ANAL-211104-0109,사용성,중립,3
RVD-220119-0014759,ANAL-211104-0109,사용성,만족,4
RVD-220119-0014758,ANAL-211104-0109,사용성,중립,3
RVD-220119-0014757,ANAL-211104-0110,제품상태,중립,3
RVD-220119-0014714,ANAL-211104-0030,사용성,슬픔,2
RVD-220119-0008092,ANAL-211104-0263,사용성,중립,3
RVD-220119-0004301,ANAL-211104-0007,사용성,행복,5
RVD-220119-0004128,ANAL-211104-0103,사용성,안타까움,2
RVD-220119-0003834,ANAL-211104-0282,사용성,짜증남,1
RVD-220119-0003833,ANAL-211104-0129,가격,실망,1
RVD-220119-0003269,ANAL-211104-0012,가격,중립,3
RVD-220119-0002009,ANAL-211104-0142,재질,중립,3
RVD-220119-0001983,ANAL-211104-0110,사용성,만족,4
RVD-220119-0001932,ANAL-211104-0148,가격,중립,3
RVD-220119-0000244,ANAL-211104-0043,디자인,행복,5
RVD-220118-0063993,ANAL-211104-0197,사용성,만족,4
RVD-220118-0063976,ANAL-211104-0191,디자인,만족,4
RVD-220118-0063965,ANAL-211104-0159,사용성,중립,3
RVD-220118-0063964,ANAL-211104-0159,디자인,설렘,4
