REVIEW_DOC_NO,ANAL_CODE,CLASSIFY,EMPATHY,EMPATHY_SCORE
RVD-220119-0016151,ANAL-211104-0181,사용성,만족,4
RVD-220119-0016142,ANAL-211104-0159,디자인,싫음,1
RVD-220119-0016141,ANAL-211104-0159,사용성,만족,4
RVD-220119-0014916,ANAL-211104-0149,사용성,만족,4
RVD-220119-0014915,ANAL-211104-0149,사용성,기쁨,5
RVD-220119-0014914,ANAL-211104-0066,사용성,만족,4
RVD-220119-0014913,ANAL-211104-0066,사용성,만족,4
RVD-220119-0014912,ANAL-211104-0066,사용성,중립,3
RVD-220119-0014911,ANAL-211104-0066,디자인,불안,2
RVD-220119-0014910,ANAL-211104-0066,사용성,만족,4
RVD-220119-0014909,ANAL-211104-0066,사용성,행복,5
RVD-220119-0014908,ANAL-211104-0066,사용성,불안,2
RVD-220119-0014907,ANAL-211104-0066,사용성,중립,3
RVD-220119-0014906,ANAL-211104-0087,가격,안타까움,2
RVD-220119-0014905,ANAL-211104-0087,사용성,만족,4
RVD-220119-0014904,ANAL-211104-0258,사용성,만족,4
RVD-220119-0014901,ANAL-211104-0154,사용성,만족,4
RVD-220119-0014900,ANAL-211104-0082,사용성,만족,4
RVD-220119-0014899,ANAL-211104-0082,사용성,안타까움,2
RVD-220119-0014898,ANAL-211104-0082,사용성,만족,4
RVD-220119-0014897,ANAL-211104-0073,사용성,바람,4
RVD-220119-0014896,ANAL-211104-0073,디자인,설렘,4
RVD-220119-0014893,ANAL-211104-0127,사용성,중립,3
RVD-220119-0014892,ANAL-211104-0127,가격,중립,3
RVD-220119-0014891,ANAL-211104-0153,사용성,만족,4
RVD-220119-0014890,ANAL-211104-0072,디자인,행복,5
RVD-220119-0014889,ANAL-211104-0072,가격,만족,4
RVD-220119-0014888,ANAL-211104-0072,가격,만족,4
RVD-220119-0014887,ANAL-211104-0072,사용성,만족,4
RVD-220119-0014884,ALL,재질,만족,4
RVD-220119-0014883,ANAL-211104-0130,사용성,놀람,4
RVD-220119-0014882,ANAL-211104-0146,사용성,사랑,4
RVD-220119-0014881,ANAL-211104-0146,사용성,바람,4
RVD-220119-0014880,ANAL-211104-0146,사용성,중립,3
RVD-220119-0014875,ANAL-211104-0285,사용성,만족,4
RVD-220119-0014874,ANAL-211104-0309,사용성,중립,3
RVD-220119-0014873,ANAL-211104-0271,사용성,중립,3
RVD-220119-0014872,ANAL-211104-0128,재질,중립,3
RVD-220119-0014871,ANAL-211104-0256,사용성,만족,4
RVD-220119-0014870,ANAL-211104-0138,사용성,만족,4
RVD-220119-0014869,ANAL-211104-0138,사용성,행복,5
RVD-220119-0014868,ANAL-211104-0138,사용성,만족,4
RVD-220119-0014867,ANAL-211104-0155,사용성,행복,5
RVD-220119-0014866,ANAL-211104-0155,사용성,중립,3
RVD-220119-0014865,ANAL-211104-0155,사이즈,싫음,1
RVD-220119-0014864,ANAL-211104-0155,사용성,싫음,1
RVD-220119-0014851,ANAL-211104-0126,사용성,중립,3
RVD-220119-0014810,ANAL-211104-0136,디자인,만족,4
RVD-220119-0014809,ANAL-211104-0136,사용성,중립,3
RVD-220119-0014808,ANAL-211104-0129,사용성,만족,4
RVD-220119-0014807,ANAL-211104-0129,사용성,행복,5
RVD-220119-0014806,ANAL-211104-0136,디자인,바람,4
RVD-220119-0014805,ANAL-211104-0129,사용성,행복,5
RVD-220119-0014804,ANAL-211104-0129,사용성,만족,4
RVD-220119-0014803,ANAL-211104-0136,디자인,만족,4
RVD-220119-0014802,ANAL-211104-0136,사용성,행복,5
RVD-220119-0014801,ANAL-211104-0129,사용성,만족,4
RVD-220119-0014800,ANAL-211104-0129,사용성,행복,5
RVD-220119-0014798,ANAL-211104-0136,사용성,행복,5
RVD-220119-0014797,ANAL-211104-0136,가격,당황,2
RVD-220119-0014796,ANAL-211104-0136,사용성,만족,4
RVD-220119-0014794,ANAL-211104-0129,사용성,만족,4
RVD-220119-0014793,ANAL-211104-0136,사용성,고마움,4
RVD-220119-0014792,ANAL-211104-0136,사용성,짜증남,1
