ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0001,0,1,좋아요,믿고,좋네요,세탁망,배송,13.4,6.27,4.18,3.86,3.68
ANAL-211104-0001,1,1,비슷한 세탁망이긴한데 모양이잡혀있어서 속옷세탁용으로 좋은듯,써봐서 비교를 못하겠네요사용하기 괜찮습니다용도가 써있는데 그냥 공용으로 사용합니다,용도별로 싸게 파니까 다이소보다 훨씬 나은거 같아요,빨래망 처음,배송도 빠르고  그물망이 얇디않고 도톰해요,,,,,
ANAL-211104-0001,0,1,속옷,세탁,좋아요,지퍼가,넣고,12.7,11.08,9.13,6.39,5.24
ANAL-211104-0001,1,1,생각보다 조금 작긴하지만 한두벌 정도는 가능할듯요 빠른배송은 정말 쵝오,생각보다 망이 두꺼워서 좋아요재질도 꺼칠하지 않구요삼각형의 모양이 잡혀있어서 속옷을 반으로접고 넣어도 공간이 남구요,했는데이렇게 금방 터질 줄은 몰랐어요타제품에 비해 조금 비싸게 받으실때에는 뭔가 좀 달라야 하지 않나요,속옷빨래하는데좋아요속옷을 손빨래 해야하는건 아는데 귀찮아서 세탁망에 넣고 돌려요,상품 잘 받았고 배달해주시는 분도 친절하셨습니다,,,,,
