ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0271,0,0,커버,아이,,,,1.43,0.57,,,
ANAL-211104-0271,1,0,예쁘고 잘 맞지만 고정력이 떨어져요,잘쓰고있어요,재구매할머니댁에 놓고 오는 바람에 재구매했습니다변기연습용으로 가격대비 싼 다이 제품을 쓰다가 아무래도 저희 아이에게는 폭신한 커버가 적합한 것 같아 정말 많은 검색 끝에 유사한 이 제품을 구매하게 됐습니다,,,,,,,
ANAL-211104-0271,0,1,변기,아이,부분,,,2.23,1.02,1.0,,
ANAL-211104-0271,1,1,마감이좀일반 변기 위에 놓고 사용하는데 아이가 이 변기에 앉으려 하면 변기가 살짝 뒤로 밀려 변기가 어른 변기에 빠질 것 같기도 하고 아이도 엉덩방아를 찌을 것 같이 되어 아이가 앉을 때 제가 변기 뒷부분을 잡고 있어야 합니다,단단하고 좋아요,,,,,,,,
ANAL-211104-0222,0,0,국자,뚜껑,,,,1.18,1.18,,,
ANAL-211104-0222,1,0,에펠탑트롤리도 그렇고 모서리냄비받침도 그렇고 다 질이 좋아요감사합니다좋은 제품 사용하게해주셔서,요리하면서 국자나 주걱 등 참 애매 했는데 제품을 구입하고나서 세워둘수 있어서 좋네요,요리할때 국자를 둘 곳이 마땅치 않았는데 생각보다 편리하네요,국자 놓는것보다 냄비 뚜껑 놓을데가 마땅치않아서 구입했는데 너무 좋네요,,,,,,
ANAL-211104-0222,1,1,교환과 반품을 총 세번 반복했던 사람 지치게 했던 상품상품 사진과 다르게 젓가락 홈부분 없는게 옵니다,조리도구 스탠드는 처음 사용해봤는데 생각보다 훨씬 편리하네요사이즈가 작아서 자리를 많이 차지하지않아요 요리하는데 거슬리거나 하는 것도 전혀없네요전에는 냄비나 국자같은 도구를 걸쳐두거나 그냥 바닥에 올려놔 더러워지는 경우가 종종 있었는데 그럴일이 없으니 깔끔하고 좋습니다 그리고 분리도 되어서 세척도 편리하네요 잘쓸게요,주방조리필수품국자뚜껑스탠드가성비갑이네요국물요리를 하다보면 양념 숟가락이나 뚜껑을 놓기가 참 애매하고 그냥 씽크대 위에 놓으면 양념자국이 생겨 참 불편했어요젓가락 국자등 조리도구와 냄비뚜껑까지 받쳐주니 나름 작지만 요긴하네요색상도 화이트라 한쪽에 두어도 깔끔합니다,단단하고무거워서냄비뚜껑거치하기좋아요주방이 안그래도 폭탄인데냄비뚜껑 떨어져서 발가락 찧고나서 신경질나서 샀어요여기저기 막 두다가 이제는 정리가 되서 너무 좋아요저는 국자 거치는 약간 보조 기능이고 냅비거치 위주로 하는데 진작살껄 싶었네요국자 받침만 따로 씻을 수 있어서 추천해요,디자인신경쓰시는분들강추합니다국이나 찌개를 끓일 때 국자를 따로 두기 안좋았는데저한테 정말 필요한 물건을 이제 발견해서 사용하네요디자인도 너무 이쁘고 보관하기도 편리하고 사길 잘 했네요저는 정말 강추합니다,,,,,
ANAL-211104-0226,0,0,좋아요,깔끔하고,너무,튼튼하고,예뻐요,8.97,6.47,6.04,5.03,4.1
ANAL-211104-0226,1,0,만족합니다,BEST화이트톤의 집에 딱맞는 상품입니다본드로 붙이면 돌이킬 수 없을것 같아서일단 테이프로 고정시켜놨어요,흰색도 마음에 들고 접착이 잘되어서 안떨어지네요,깔끔하고 예뻐요 본드 짱,가구 만들때 사용했어요,,,,,
ANAL-211104-0175,1,0,굳이 조립을 하는 이유가 있겠죠 더 튼튼하려니 생각하려구요깔끔하고 좋아요,예쁜데 아직 안말라서,,,,,,,,
ANAL-211104-0198,1,0,더 주문해서 정리해야겠어요 너무 좋아요,,,,,,,,,
ANAL-211104-0198,1,1,서랍에쏙쌓을수도있고쓸모가많네요서랍속이 지저분해서 정리해볼까 샀는데칸칸히 정리하기 좋네요제일작은 소사이즈인데요 긴 타입이랑다른 사이즈도 더 사서 구성해볼 예정높이도 적당하고 쌓을수도 있고여러모로 활용도가 높은거같아요,서랍정리하려고 구매했는데 높이도 적당하고깔끔하고 만족스럽습니다작은물건들도 찾기편하고 한눈에 보여서 좋아요,,,,,,,,
ANAL-211104-0301,0,0,배송,감사합니다,좋아,생각,구매,1.98,1.92,1.09,1.0,1.0
ANAL-211104-0301,1,0,아이가 넘어질뻔해서 구매햇어요,생각보다 쪼끔하네요,꼭 필요해서 여기저기 엄청 찾던 제품입니다,쪼금 작아요,프롬유 샤워핸들에 미끄러지지 말라고 붙여줬어요,,,,,
ANAL-211104-0301,0,1,조금,너무,좋아요,미끄,스티커,2.69,2.44,2.37,2.22,2.22
ANAL-211104-0301,1,1,8 8  구매하신 분들은 정말 인내심 갖고 집중해서 비닐 제거하세요,비닐이 분리되는게아니라 제품과 스티커가 분리되더라구요,처음주문해봤어요아직 사용하진 않지만 그래도  좋을것 같아요,욕실이 타일이 맨질맨질해서 바닥이 미끌미끌해서 사망의 위기를 매번느꼈는데 붙이니까 좀 고무자체의 안정감이있네요,생각보다 크기가 크네요돌기가 크고 미끌거려서 미끄럼방지가 되는지는 잘 모르겠어요,,,,,
ANAL-211104-0128,0,0,좋아요,아직,찍찍이,같아요,아기,6.86,4.86,4.33,4.32,4.16
ANAL-211104-0128,1,0,아기가 한창 기는 시기라서 샀는데  잘 벗겨져요,아직아기가작아서 잘못쓰구있어요,그리고 위아래 구분이 잘 안가서 움직이는 애기 잡고 채우기가 너무 힘들어요,입는거 조일까봐 일부로 찍찍이 샀는데평균이상이라지만 작아요사이즈가있었음,쓰던건 밸크로가 아니라 작아져서 산건데  무릎에 닿는 부분이 진짜 너무 얇아서 보호가 될까싶네요,,,,,
ANAL-211104-0128,0,1,너무,아기,그냥,무릎,벨크로,3.86,2.76,2.05,2.05,1.79
ANAL-211104-0128,1,1,배송받고 빨아버렸는데 찍찍이부분이 막 떨어지네요,보통 아기용품은 피부가 약한걸 고려해서 위험요소는 제거 합니다찍찍이의 까슬이가 피부에 닿지 않게요근데 이건 아기용 까슬이도 아니고요엄청 거칠어요,장점은 처음받자마자 박스에 비닐에 깔끔하게 포장되어 있다생각이 들었고 무릎부분은 도톰했고 그외에는 얇아 통기성은 좋아 보였어요저희 아이보다 더 튼튼한 아이나 좀 더 개월수 있는 아이가 써야할듯했어요,벨크로라서 사이즈조절 될줄알고 구입했는데 넘 커요 8개월 85키로 참고하세요,아가드상품이라 구매했는데 저희아기한테는 좀 커요벨크로부분도 좀 남아서요,,,,,
ANAL-211104-0165,1,0,배송도빠르고 좋아요,너무예뻐요잘쓸게욯,나무라 예뻐요 곰팡이만 안쓸면 참좋을 거 같아요,회사에서잘쓰겠습니다,,,,,,
ANAL-211104-0165,1,1,나이스한제품이에요이쁜주제에 사이즈도 딱이네요 대만족,예뻐요 우드로 포인트 있어서 더 만족해요 ,두달 써보고 후기 남겨요처음에 구매이유는 모던하고 세련되서 깔끔하게 쓸 수있을 것 같아 구매했어요그러나 데코부분인 나무가 정말 나무라욕실 특성상 물이 안닿을수가 없자나요 까맣게 곰팡이도 나고 나무물붉은물도 빠지고 결국은 나무부분을 떼어 버리고 사용하고 있습니다나무부분 너무너무 쓸모없어요 데코부분이면 확실한 코팅이나 마감처리를 했어야하는데 너무 유용하지 못하네요만드신분들이 리뉴얼할 때 꼭 보완하셨으면해요나름 쿠팡에서 가격 좀 주고 산 제품인데 매우 아쉽습니다,,,,,,,
ANAL-211104-0106,0,1,그러네요,케이블,작아서,이어폰,조금,2.24,2.17,1.98,1.78,1.21
ANAL-211104-0106,1,1,무선청소기 충전케이블에는 딱이네요,고정력이그다지이어폰 줄 감을 때나 쓸 정도인데 요즘 무선을 많이 쓰니 쓸 곳이 없습니다,아이들이 영어학원에 이어폰을 가져가야해서 급히샀어요,이어폰 선 및 조금 더 굵은 전선 말아서 가지고 다니기 좋습니다,,,,,,
ANAL-211104-0075,0,0,좋아요,아기가,좋네요,서랍,재구매,17.69,6.66,4.26,3.95,3.38
ANAL-211104-0075,1,0,종류가 다양하고 모양도 귀여운게 많아서 좋아요,재구매모서리에 아기가 부딪혀서 급하게 더샀어요,모서리들이 안전해졌어요,재구매입니다,배송빠르고좋아요애헤헤,,,,,
ANAL-211104-0075,0,1,서랍,아기가,너무,좋아요,아이가,9.76,6.51,5.69,4.99,4.07
