ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0075,1,1,12개월 아기가 서랍에 관심을 가져 문에 손이 자주 껴서 구매했는데 부착이후론 맘이 편하네요,생각보다 조금 약한거같아요,한번 붙였는데 바로 떨어져나갔어요,8월부터 싱크대 서랍장에 붙여 사용하고 있어요,집 고양이들이 자꾸 서랍을 열어서 구매했어요,,,,,
ANAL-211104-0302,0,1,오른발만,했어요,떨어,,,2.18,1.81,1.08,,
ANAL-211104-0302,1,1,좋을텐뎅 접착력이 강해보이진않는데 다행히 떨어지진 않네요,욕실용은아닌듯싶네요이런거 안쓰는데 이건 꼭 써야해요물기에 강해야하는 스티커 아닌가요 말린곳 위에 붙였는데 물기 닿으니 전부 다 떨어지네요,,,,,,,,
ANAL-211104-0247,1,1,애견의 무른 변도 집게로 아주 잘 집어지고 끝마무리까지 힘들지 않고 깔끔하게 처리 됩니다 다만 저는 크기를 제대로 확인 안 하고 급히 샀는데요 매우 큽니다 그치만 크기가 크기 때문에 처리할 때 허리를 많이 굽히지 않아도 되서 좋아오 저처럼 허리 안 좋은 분들께 추천이에요 산책용으로 산 것이지만 집에서도 쓰고 있어요 고리가 있긴 한데 크기로 보아선 산책용이 아니었던 것 같습니다ㅠ 휴대는 되긴 되어요 밖에서도 잘 쓰고 있어요,애견의 무른 변도 집게로 아주 잘 집어지고 끝마무리까지 힘들지 않고 깔끔하게 처리 됩니다 다만 저는 크기를 제대로 확인 안 하고 급히 샀는데요 매우 큽니다 그치만 크기가 크기 때문에 처리할 때 허리를 많이 굽히지 않아도 되서 좋아오 저처럼 허리 안 좋은 분들께 추천이에요 산책용으로 산 것이지만 집에서도 쓰고 있어요 고리가 있긴 한데 크기로 보아선 산책용이 아니었던 것 같습니다 휴대는 되긴 되어요 밖에서도 잘 쓰고 있어요,,,,,,,,
ANAL-211104-0193,0,0,틈새,많이,정리하,사용하,수납,2.16,1.46,1.26,0.53,0.45
ANAL-211104-0193,1,0,식탁 위에 지저분하게 잔뜩 쌓여있던게 수납을 했더니 깔끔해졌어요,엄청 많은양이 수납되어서 만족합니다자리 많이 차지하지 않아서 더 좋아요냉장고 틈새나 씽크대 틈새용으로 사용하여도 좋을 듯합니다,또 슬라이드 타입이라 틈새에 끼워넣어도 사용하기 매우 편리 하였습니다눈에 잘 띄는 곳에 보관이 되니 하루도 안거르고 잘 챙겨먹게 되어매우 구매를 잘한거 같습니다,저 수납이 위로 올리거나 좀 더 큰거사서 과자보관함 하고싶네요,정리하니 공간도 훨씬 넓네요,,,,,
ANAL-211104-0193,0,1,너무,사이즈,많이,아주,예뻐서,4.48,3.48,3.18,3.08,2.86
ANAL-211104-0193,1,1,튼튼킹꿀템작은 사이즈랑 같이 구입했는데 큰 것도 하나 사길 잘한 것 같아요,완충제 포함해서 튼튼하게 잘 포장되어왔고 제품도 깔끔하고 예뻐서 부엌 인테리어 안 해치고 잘 쓸거같아요,부드럽게 밀리는 레일도 동영상 찍어뒀는데 아쉽게도 업로드가 안되네요수납렉m도 같이 구매하였는데 사이즈 비교샷도 하나 남겨드릴게요 실제로는 사이즈 차이가 있는데 사진상은 많이 차이는 안 나보이게 나왔어요,모노플랫 제품 정리용으로 많이 구매했는데 가장 만족하는 제품입니당 방에서도 수납용으로 사용하고 주방에서도 영양제나 과자 등 정리하는 용도로 사용하는데 넉넉한 사이즈가 너무 맘에 들고 예뻐요조립할 것도 없이 서랍장 뚝딱이에요,깔끔하고실용적으로정리할수있고쓰임새도좋습니다김치냉장고 옆 자주 쓰는 물건을 올려두기 위해구입하였는데 어디에나 잘 어울리고 실용적으로 쓰기 좋습니다레일이 있어 앞으로 잡아당겨 물건을 넣었다,,,,,
ANAL-211104-0116,0,0,아직,좋아요,아이가,아기,편하고,4.93,3.99,3.89,3.82,2.56
ANAL-211104-0116,1,0,잠금키도 있어요,아이가 진짜 막 달려서 미아방지 끈 찾아보다 알게됐는데 너무 좋은 가격에 좋은싱품인거 같아요,아이한테 해주고 같이 걸으니 좋아해서 다행이었는데밖에 나가서 하려니 빼라고 징징대네요,손안잡으려고 총총총 도망갈때아이와 저의 연결고리가 있어서 안심이에요,편하고 안전해요,,,,,
ANAL-211104-0116,0,1,너무,아이,하나,아주,아기가,3.89,3.86,3.83,2.68,2.68
ANAL-211104-0116,1,1,11제품아는지인과나눠서구매하면더꿀이득끈도 튼튼하고 아기가 풀 수도 없고 너무 좋았어요다만 아기가 너무 앞으로 가면 땡기지 마시고 같이 맞춰서 걸어가세요,헐  이제 저도 늙고 아이도 빠르고 아 이래서 엄마들이 미아방지 끈을 다들 하시는구나 하고 이해했어요처음 차고 나갈 때 아이가 아직 어려서 엄청 싫어하더라구요,줄었다 하는 끈이 신기한지 팔랑거리며 잘 쫓아와요다만 아이랑 거리를 잘 조절해야하겠어요애가 멀리 가고싶어 줄을 억지로 당기다가 중심을 잃어 뒤로 한번 꽈당 했네요제 부주의였어요,20개월아기미아방지현재 20개월 남아 사용중인데요이제 활동량도 많아지고 위험하게 자꾸 손뿌리치고 뛰어가고 그래서 걱정되어서 구매했어요우선은 두개가 같이 오니 친정에 하나 제가 하나 이렇게 쓰려고 샀는데 견고하게 잘 만들어진것같아요,돈지랄했네질은좋아요,,,,,
ANAL-211104-0145,0,0,좋아요,너무,아가,잘되,거울,2.32,1.68,1.0,0.84,0.62
ANAL-211104-0145,1,0,배송빠르고 좋아요,저녁에 차에서 아가가 안보였는데 엘이디 조명있어서 좋아요,불도 들어오고  심지어 불이 리모콘으로 컨트롤가능한게 너무 신기하네요,아가드,리모콘도 잘되고 고정이 잘되고 방향 조절 잘 되서 좋긴 한데 이동중엔 거울이 너무 흔들려서 전 보고 있으니 멀미가 아가는 괜찮을지  차 안이라 어쩔수 없나봐요,,,,,
ANAL-211104-0145,0,1,아주,아기가,아이,얼굴,불은,3.99,3.07,2.25,1.74,1.35
ANAL-211104-0145,1,1,고정이 잘되고 아기얼굴잘보여서 너무 좋네요,불은 안켜봤지만요그런데 후방 거울달아놔도 룸미러로는 잘 안보여요 제가 아기 얼굴을 볼 생각이었는데 그건 각도 맞추기 어려울 거 같아요,조명 밝기가 눈부시게 밝은편은 아니지만 어두운 밤 차안에서 아기 상태 식별은 충분히 가능하네요,모양 괜찮고 등도 너무 밝지 않아서 아이 눈이 피로할까 걱정했던 생각이 사라졌어요,운전하면서 아이의 얼굴을 볼 수 있어서 좋아요,,,,,
ANAL-211104-0194,0,0,바퀴,예뻐요,제품,깔끔,조립,2.3,1.6,1.53,1.0,0.55
ANAL-211104-0194,1,0,흰색 트롤리랑 같이 주문 했는데실물이 더 예쁘네요,초등학교를 갓 졸업한 사촌동생도 10분안에 조립할 수 있을정도로 쉬워요,뭐랄까 다리바퀴가 안맞아서 덜컹덜컹 거리긴 하는데 그냥 고정해놓고 쓰고 있어서 불편한건 크게 없어요,딱 원하던 디자인입니다,깔끔합니다,,,,,
ANAL-211104-0194,0,1,너무,트롤리,예뻐,조립,좋아,1.93,1.21,1.02,1.0,1.0
ANAL-211104-0194,1,1,왼쪽기둥가운데구멍에너트가없어요상품은넘이뻐요,이쁘고만들기쉬워요감성트롤리에요아가 트롤리 사용할꺼 보다가 너무이쁜데 가격이 착해서 바로 구입했네요필요한 나사나 드라이버까지 다 들어가져있다보니편하게 조립하고 빠르게 조립가능해요ㅠㅠ짱이야넘 이뻐여,적극추천에펠 트롤리 너무이뻐요화분올려도 좋고 바구니가 튼튼해서 이것저것 정리 좋아요가성비 최고아이템 거실분위기가 살아났어요120만족 적극 추천합니다,너무예뻐서또구매함진짜 너무 예뻐요우리집 분위기를 고급스럽게 만들어주네요하나 삿었는데 넘 예뻐서 또 구매합니다우드랑 화이트 좋아하시는 분들에게 강추합니다조립도 생각보다 쉬웠어요,집안인테리어효과짱피라미드 모양이라서 외관상 인테리어 효과도 있어서 좋네요3단이라서 수납공간도 말할 필요없이 좋아요적극추천,,,,,
ANAL-211104-0002,0,0,만족합니다,열기,사용,,,1.76,1.0,0.58,,
ANAL-211104-0002,1,0,그건 하루도 안되서 떨어졌는데 손잡이도 작고 크기도 적당해요,굿 붙힘성도 좋고 힘도 잘받고 좋습니다,만족합니다 만족합니다,창문 수시로 열고 닫고 하는데 잘 안떨어지고 좋아요,만족합니다,,,,,
ANAL-211104-0002,0,1,좋아요,접착력,너무,베란다,손잡이,9.77,8.66,6.36,6.35,5.45
ANAL-211104-0002,1,1,붙히기도 쉽고 디자인도 깔끔하고 단단해서 베란다창에 강추,문 열고 닫다가 유리만 계속 얼룩져서 구매했는데 엄청 끈끈해서 딱 달라붙어 쉽게 열고 닫고 해주네요,완전굳굳굳쓰문 열때 손잡이 없어서 퍽퍽해서 다이소에서 사서 사용해보다가 완전 실패로 인해 쿠팡에서 구매했음요 요거 평이 좋아서 샀는데 진짜 짱이에요,미닫이용인가봐여 그래도 모양도 깔끔하고 접착력도 좋으니 좋습니다,부착및사용간편심플해서미관상좋음유리문에 손자국이 나는게 싫어서 구매 다이소에서 파는거랑 똑같네요,,,,,
ANAL-211104-0179,0,0,주방,같아,,,,1.89,1.0,,,
ANAL-211104-0179,1,0,수납 공간이 부족하고 공간 활용해서 수납하기에 너무 좋은거 같아요거는 부분은 어느정도 유격도 커버되서 아주 넓거나 아주 좁은 곳 아니다,모든 주방에 맞는 게 아니었네용  부모님 댁에 드렸습니다,간편하게 설치할 수 있어서 좋았고 물건을 올려둘 수 있는 곳이 있어서 더 좋은 것 같아용 잘 사용할께요,이쁘고 좋아요,저는 주방 소품 선반으로 쓰지 않고 방 안에 있는 옷장 안에 끼워서 쓰고 있습니다,,,,,
ANAL-211104-0179,1,1,산반에 거는 고리 끝부분이 위로 살짝 올라간 형태라서 선반에 물건 놓는데 많이 걸리적 거리네요 ㅜㅜ,편하고 좋아요조금 힘이 없나 했는데 직접 사용해보니 딱이네요,산반에 거는 고리 끝부분이 위로 살짝 올라간 형태라서 선반에 물건 놓는데 많이 걸리적 거리네요 ,,,,,,,
ANAL-211104-0154,0,0,너무,좋아요,아직,아기,디자인,40.56,16.3,14.38,10.44,9.52
ANAL-211104-0154,1,0,휴대하기도 편하고 아기도 편해하는거 같아서 좋네요,아기가 편한지 여기에 유독 오래 잘 앉아있어요다른 의자들 많은데 여기에만 앉히게되네요밖에 나갈 때 필수품 됐어요,구매하고 싶어서 바로 구매했는데 너무 마음에 들어요,예쁘고 만족하는데 바람이 잘 빠지네요,사진찍기도너무좋구 여름에 물놀이 데리고가고싶어요,,,,,
ANAL-211104-0284,0,0,좋아요,너무,가볍고,귀엽고,이유식,4.69,3.93,3.35,2.7,2.53
ANAL-211104-0284,1,0,잘받았습니다,사진 설명과 같아요,아기 이유식 먹일깨마다 잘쓰고있어요,배송빠르고 좋아요,배송도빠르고 가벼워서 좋네요,,,,,
ANAL-211104-0284,0,1,재질도,계속,모양이,닫혀서,턱받이,2.91,2.19,1.65,1.63,1.07
ANAL-211104-0284,1,1,사진보는것과 같아요착용하기 편하고 저희아기는 많이 흘리지는 않네요,두번째 구매 진짜 말랑말랑하고 애가하기도 편한거 같애요캐릭터도 귀여워서 좋아하구요단점이라면 음식받히는 부분이 너무 말랑해서 모양이 잡히지않아잇어서 잘 못 받아줘요,재질도 제가 써본것중에서는 제일 부드럽고 야들야들한데 그게 단점이네요,턱받이가맞나싶어요음식물이 떨어지지 않게 받쳐주라고 있는 턱받이인데 전혀 음식물을 받쳐주지 않아요,첨이라 모양이 잘못 잡혀있는 줄 알았는데 계속 그래요 휴,,,,,
ANAL-211104-0231,0,0,좋아요,생각,붙이,같아,,1.9,1.14,1.14,0.61,
ANAL-211104-0231,1,0,말랑해서 충격보호가 잘될거같아요,애기 놀이방이 너무 심심한거 같아 연두색이랑 아이보리로꾸몄는데 너무이쁘고 뒤로 넘어져서 벽에 부딫혔는데도 울지안네요,생각햇던것보다 두껍구 잘븥어잇어오 신랑이랑 한시간동안 공사햇네여 아기가 자꾸 뜯을랴구 하는데 아직은 잘븥어잇음,잘 받았어요근데 몇개는 매트뒷면에 붙이다,예쁘네요,,,,,
ANAL-211104-0231,0,1,벽에,아기가,좋아요,너무,자꾸,7.98,3.94,3.51,3.38,3.27
ANAL-211104-0231,1,1,양면테이프를 잘라서 붙이기만하면 끝자르는것도 그냥 대충 크기만 비슷하게해서 붙였는데정말 간단하네요,아기가 부딪혀도 푹신하고요 자다가 부딪혔는데도 그냥자더라고요 진작 해줄걸 하고 휘회했어요아가들한테는 색깔도알록달록해서좋고안다쳐서좋고 인테리어효과도좋고 강추입니다,자주 떨어지더라구요다시 뜯으면 붙어있는면 벽지가 손상 될까봐냅두고 있는데 다 떨어지면 다른 강력 접착제로붙혀야될것같아요,고양이콧물 눈물때문에 구매했어요접착지가 부착되있는게 아니라 자르고하는데 좀 귀찮긴했는데 좋아요잘못붙여서 재부착하긴 힘드네요,이게 제일 맘에들어요양면테이프를 매트모양대로 잘라주고 붙이는게 조금 번거로웠지만매트모양으로 자르고 붙이니 둥그런 모양대로 착 붙어있게되고 테이프가 보일일도없어서깔끔하니 맘에들어요,,,,,
ANAL-211104-0312,0,0,너무,주문,어떨지,,,1.06,1.0,0.94,,
ANAL-211104-0312,1,0,한번에 주문해서 쟁여놓는 템,,,,,,,,,
ANAL-211104-0012,0,1,문에,문을,손낌방지를,너무,좋아요,8.2,5.57,5.21,5.05,5.05
ANAL-211104-0012,1,1,금방망가지니아까워요바람불어 방문이 닫히면서 갈라지면서 두개나 부러졌어요,근데 얼굴모양이 한쪽으로만 있어서 빼놓고 다시 문에끼울땐 신경써서 꽂아야갯더라구요,너무 짱짱해서 문에 끼우기 힘들정도에요어머 문에껴놓고 바람한번세게불어서 문이 닫힐뻔한거 막아줘서 좋다하고있었는데 그 한번에 부러져있네요,문 고정은 않되요 문고정용은 따로 있구요요건 문안닫히게하는것과  소리방지용  이예요청소할때  전체 문 열고 청소하면 바람때문에  방문들이  여기저기서 쾅쾅 닫혀 집이 금갈정도로 쌔게 닫혀서 않좋은데  이거 해두면 좋드라구요,시멘트 같은제품 본연의 기능에는 충실합니다단단해서 한손으로는 끼기 어렵고 두손 다 사용해야 해요잃어버리지 않는 한 계속 쓸 것 같네요,,,,,
ANAL-211104-0236,0,0,너무,매트,좋아요,아기,아가드,31.75,22.16,19.99,9.58,9.25
ANAL-211104-0236,1,0,시공전부 만족합니다,너무 예뻐요 좋아요,항상믿고 구매합니다,7월에 태어날 애기 거실바닥에 깔아주려고 구매했어요,무늬도 아기자기하고 예뻐 인테리어도 되는 일석이조 효과로 아주 만족합니다,,,,,
ANAL-211104-0236,0,1,너무,좋아요,매트,아이,조금,11.54,9.03,8.86,5.78,5.37
ANAL-211104-0236,1,1,무광유광 섞어서 올까 걱정했는데 둘다 무광으로 잘왓구 재단도 정확히 해주셔서 딱 맞습니다걸어다닐때 발바닥 쩍쩍 달라붙는것도 없고 따로 테이핑 안해도 밀림없이 2개 연결하여 쓰고있습니다무엇보다 폭신폭신해서 맘에드네요,칼로 숭덩숭덩 재단할때 2mm 꼭 추천 높이가 생각보다 있어서 익숙해지는데 시간필요 택배가 깨끗하게 잘 동봉되서 왔어요,두번째구매인데 이번에200 300두개구매햇는데 300만 이상하네요,재단하면서 접었던 부분이 우글쭈글 한상태로 남아있지만 살다보면 신경안쓰일거 같아요,짱짱해서 질이 좋고 원래 다이소꺼 5천원에 두어개 주고 깔았는데 들뜨고 까지고 완전별로였는데아 돈쓰면 좋긴 좋네요,,,,,
ANAL-211104-0281,0,1,편해요,부품,변기,다시,약하,2.93,1.87,1.85,1.35,1.09
ANAL-211104-0281,1,1,사용하기 편해요,내구도쿠크다스한달용내구도 스레기 입니다나도 저기 사진리뷰랑 똑같은 부위 부셔졌어요,2주만에망가졌어요산지 2주도 안되었는데 연결부분이 부숴졌네요,교체시간30분알고보니부품불량결국교체 시간 30분최저시급으로 따져도 4360원을 날린 셈입니다손가락에 멍들게 조이다,사이즈 잘 체크하고 사시길 제품은 푹신허니 좋아요,,,,,
ANAL-211104-0121,0,0,아기가,좋아요,너무,사용,아이가,4.2,2.51,2.44,2.34,1.89
ANAL-211104-0121,1,0,아직 아이가 시러해서 시도중이에요,잘 사용하고 있습니다,놀이터 데리고 나가면 옆에서 잡아주기 너무 힘들어서 걸음마보조기도 가지고 나가봤는데 흥미 없어하길라 구매했어요,잘 받았습니다,아직사용전이네요,,,,,
ANAL-211104-0121,0,1,너무,걸음마,쿠팡체험단,구매,이벤트로,7.36,5.76,4.59,4.5,3.7
ANAL-211104-0121,1,1,15개월 이제 접어드는데아직 걸음마를 못떼서연습시키려는데 손목 팔뚝은 너무 아프고 애기는 걷기싫어서 주저앉으니 허리도 너무 아프고 힘들어서기구의 도움좀 받아보려고했는데애기가 걷기 싫으니 요것도 너무 싫어하네요,쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다,울애기 아직 4개월놀려줄려고 엄마 운동도 하고사실 너무 이르게 주문울아기 아직 어려도 거부감 없이 늠좋아해요아빠 있을때 해보려 했는데 엄마가 넘 피곤한 관계로밖에서 연습해도 좋을꺼같아요,보니제가 위에서 잡기가 힘들고 체력 소모가 많이 되는거 같아많이 해주진 못하고 있어요,걸음마보조기라면서요색상도 예쁘구요팔이나 다리걸치는 부분이 푹신하게 처리되어있구요땀차지 않게 메쉬로되어있어서아이도 착용감이 좋을 것 같아요울 큰아이가 17키로 자기도 해보고싶다며해주고 방방띄워줬더니 신나하더라구요,,,,,
ANAL-211104-0078,1,1,넘화가나사다버렷어요돈을 버린다고 생각해요 이런제품 생산하는 사람 양심이 없어요 벌하나 주기도 아까워요,별로입니다정말정말 비추천합니다설치는 쉽고 아이가 쉽게 열수는 없어요근데 중앙 투명부분이 잘 늘어나서 아이가 힘으로 당기면 빼꼼 열립니다그리고 다시 원상태로 돌아가는 시간이 걸려서 그 사이로손 집어 넣었다가 오히려 손이 끼이는 일도 생기네요  아이가 못열게 하려고 오픈하는 방식이 다른것보다 귀찮은 걸로 선택한건데 제가 사용하기 불편한건둘째고 열때마다 반대편 고리 연결부분도 같이 떨어집니다사진첨부다시 반대편 것도 열어서 연결부분 집어넣고 하는 작업진짜 귀찮고 불편합니다잘못 만들어진것 같다는 생각밖에 안드네요별 하나도 아까워요이미 뜯어서 사용한거러 반품도 안되고그냥 다 뜯어내고 다른 제품으로 교체해야겠습니다다른 상품으로 교체하려고 뜯어낼려고하니접착부분 하얀색이 그대로 붙어서 안떨어집니다 이거야 원제거하는데도 식겁합니다표안나게 긁고 아세톤으로 접착제 제거하고에효,정말쉽게 빠집니다싼게비지떡,이건 좀 아닌듯열고 닫고가 매끄럽지도 않고이건 뭐 한번 열면 양쪽이 빠지고 난리임삼단분리라구 아실런지양쪽 후크따로 따로 가운데 연결용 고무 같은 아이까지문한번 열기가 너무너무 성가시고 불편해서결국 칼은 항상 밖에 나와 살아요 집엘 못들어가고 ,,,,,,
ANAL-211104-0314,1,0,팬트리 정리하기 젛아요,팬트리 언제 정리하나 싶었는데 마침 괜찮은 수납함을 발견했네요,,,,,,,,
