ANAL_CODE,KEYWORD_GUBUN,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0303,1,1,좋아요배송이 주말이었는데도 하루만에 와서 좋았고 상품도 써보니 괜찮은 것 같아요,이쁘긴이뻐요욕실바닥이 미끄러워서 샀는데이쁘긴 이뻐요 깔끔하고근데 몇개는 잘안붙는거같아요,별로에요일주일만에떨어짐인테리어하고  욕실 바짝 마른 상태에서 진행했어요근데 두장이 5일도 안되 떨어졌네요,시공해놓으면 고급스러워요화장실에1차 시공하고 모자라 다시구입시공참고로24시간 넘게꼭기다려야 잘부착됨니다만약 사워후에 12장 일어나면 실리콘으로 부착하면 확실합니다,별로에요일주일만에떨어짐ㅠ인테리어하고  욕실 바짝 마른 상태에서 진행했어요근데 두장이 5일도 안되 떨어졌네요,,,,,
ANAL-211104-0263,0,1,좋아요,벌레,들어,방충망,물구멍,14.18,12.92,9.71,9.23,9.17
ANAL-211104-0263,1,1,좋아요크기도 좋고 잘 붙습니다,보이는 뚫린 곳은 다 붙이긴 했고 다만 이렇게 상품이 작은데 포장지는 너무 커요,한번 윙윙거리면  그래서 이제품 사서 붙였는데 역시 모기의 진원지는 물구멍이었나봅니다,저 구멍을 도대체 뭘로 막을까 고민하던중 쿠팡에서 찾고 이걸 샀습니다사서 있던집에 붙히고 남은거 아껴뒀다가 지금 이사와서 붙혔는데 남았어요,붙이기간편하고좋네요이거안붙이면 망충망해나도 벌레들이 이구멍으로들어와서 이걸로막고는 그나마 문열때 안심이에요,,,,,
ANAL-211104-0153,0,0,너무,좋아요,아직,아기가,바람,26.89,14.26,9.63,9.07,7.14
ANAL-211104-0153,1,0,내장펌프가 있어서 편하고 생각다 몇번 펌프질 안했는데 빵빵해졌어요,외출 목욕 평소 앉을때 다다 유용해요,너무너무 좋아요,역시나 예뻐요  잘샀어요,잘 앉아있고 일단 푹신푹신해서 너무너무 좋아해요,,,,,
ANAL-211104-0153,0,1,사진,너무,아기,있어,사용하,1.85,1.74,1.38,1.24,1.18
ANAL-211104-0153,1,1,바람이 조금씩 빠지지만 다시 넣고 앉힘돼요 근데 아기가 크면 어깨가 끼어서 3개월 정도애 앉히기 좋을듯요,마감이아쉽네요첫번째 사진은 마감이 잘 돼어 있어요,,,,,,,,
ANAL-211104-0309,0,0,아기가,너무,아이가,좋아,아직,6.29,5.09,4.95,3.74,3.45
ANAL-211104-0309,1,0,변기를 너무 좋아해서 스티커도 붙이고 장난감처럼 가지고 놀아요,아이가 관심 보이고 좋아요근데  제품보증서나 설명서가 동봉되지 않은건 처음,안전하게 배송받았어요물소리가 나서 그런지 엄청 좋아해요아직 배변 훈련은 빠르지만아기가 자기 변기인거 아는지 앉았다가 일어났다가 물 내렸다가 장난감 넣었다가 계속 주변에서 놀아요너무 귀여워서 사진 첨부해용,어린이집에 이 변기가 있는데 아이가 갑자기 거기서 배변훈련을 시작했다는 얘길 듣고 같은 제품으로 구매했어요,화장실을 너무 사랑하는 아이라 장난감으로 구입했어요아이가 하루종일 가지고 놀아요,,,,,
ANAL-211104-0309,0,1,아기,,,,,0.7,,,,
ANAL-211104-0309,1,1,마무리도깔끔하고견고해요중국제품 평이 좋아서 주문했는데 마무리도 엉망이고 특히 밸브그게 허술하기 짝이 없더라구요,배변훈련용으로구입배변훈련 시작하게 되어서 구입했는데 너무귀여워요,두돌 앞둔 아기예요신기해서 앉아도 봤다가 다 분리도 시켜보고 다시 설치도 해보고 엄청 신났네요 ㅎㅎ,두돌 앞둔 아기예요신기해서 앉아도 봤다가 다 분리도 시켜보고 다시 설치도 해보고 엄청 신났네요,,,,,,
ANAL-211104-0028,0,0,좋아요,귀여워요,의자,,,2.05,1.97,1.54,,
ANAL-211104-0028,1,0,배송도 빠르고 좋습니다,귀여워요,네모난 다리에는 딱 안맞지만 색감이 귀여워요,예쁜데 저희집 의자가 얇아서 양말이 쏙빠져요,좋아요,,,,,
ANAL-211104-0028,0,1,귀엽고,귀여워요,좋아,,,2.28,1.39,0.83,,
ANAL-211104-0028,1,1,4개씩세트로되어서쓸모있어요완전 이뻐요식탁의자 다리에서 소리가 나서 신겨봤는데소음도 거의 안나네요,4개가 1세트고 총 4세트가 들어있다는 걸 급하게 사느라 확인못했네요,혹시나해서 다른것도 몇번 갈라타봤지만 역시나 이것만한게 없었어요,계속빠져 아침에 껴놓으면 저녁이면 다 양말을 벗고있어너무 화납니다,귀엽고 무난합니다,,,,,
ANAL-211104-0313,0,0,좋아요,구매했,,,,2.17,1.0,,,
ANAL-211104-0313,1,0,사용편리하고 크기도 넉넉해서 좋아요좀 앏지만 충분합니다,좋아요,잘받았어요,배송도 빠르고 커서 좋네요,재구매상품 잘 받았습니다,,,,,
ANAL-211104-0209,0,0,좋아요,생각보,있어,,,1.78,1.18,1.13,,
ANAL-211104-0209,1,0,이거 사길 잘한 것 같아요,2리터는 좀 작은듯한데 걸쳐놓을수 있는정도예요,생각보다 괜찮네요,우선 음식물 쓰레기통으로 쓰기에는 너무 작아요,싱크대 옆에 놓고 쓰기 좋아요,,,,,
ANAL-211104-0209,1,1,이쁘고실용성굿음식물 쓰봉 홀더 후기사실 음식물 쓰봉보다는 주방에서 쓸 간단한 쓰레기통이 필요했는데딱 원하던 사이즈네요 요리할때계란껍질이나 양파껍질같은거 쓰레기통으로 넣으려면 귀찮았는데그거 해결하기 딱좋습니다 추천추천주방생활의 질을 올릴수잇슴 ,써보니만족스럽네요요리할때 대충 비닐봉지에 음식물쓰레기를 모아놨다가 버리곤 했는데 미관상 보기도 좋지않고 날파리 때문에 비닐봉지를 묶어놔도 위생적이지 않더라구요그때그때 간단히 쓰고자 음식물쓰레기 스탠드를 사봤는데 결과적으로 아주 좋네요비닐봉지를 안에 끼우기만 하면 되고 무엇보다 뚜껑이 있다보니 너무 위생적이고 편리하네요진작 살걸 그랬다는 생각이 듭니다  고민하시는 분들은 사시면 후회하지 않으실것 같네요,크기도적당하고깔끔해서좋습니다요리하면서 나오는 쓰레기들 버리는 용도로 쓰기 좋습니다자쥐하면서 음식물 관리하기 힘들었는데 많이 편해졌어요크기는 자취하면서 사용하기 좋은 사이즈인것 같습니다 강추,뚜껑이있어서음식물쓰레기를냄새없이보관가능합니다,생각보다 작네요,,,,,
ANAL-211104-0163,0,0,20리터,좋아요,너무,예뻐요,예쁘고,3.31,2.73,2.43,2.3,1.94
ANAL-211104-0163,1,0,디자인은 이쁜데 부피가 크고 그래도 좋아요,쓰레기봉투 20리터 온전히 들어가는걸로 찾고 있었는데 사각틀이라 완전하게 애워싸지는 못하지만 충분히 틀에맞춰 끼울수 있어서 괜찮아요,크기는 커서20L봉지가 딱맞지않네요이거 빼고는 다좋네요,뚜껑도 스무스하게 열리고 디자인도 깔끔해서 좋아요,부드럽게 열리고 좋네요내부도 커서 좋아요하지만 20리터 쓰레기봉투 넣고 사용할려고 했는데 사각형의 모양이여서 그런지 봉투가 걸쳐지지 않아서 그 점이 아쉽네요,,,,,
ANAL-211104-0163,0,1,20리터,너무,쓰레기통,뚜껑,마음,3.14,2.8,2.44,1.69,1.18
ANAL-211104-0163,1,1,깔끔하고사이즈도적당해서너무좋아요하얀색이라 깔끔해서 집 안에 두기 좋고 크기도 딱 생각하던 사이즈라 좋네요,댐퍼를 누르면 쓰레기통 뚜껑이 부드럽게 열리고 닫히는 것도 마음에 듭니다실용적이면서도 인테리어 효과까지 있어서 가성비가 좋은 제품이에요친척들이 놀러왔다가 쓰레기통이 예쁘다고 어디서 샀는지 물어봐서 괜히 기분이 좋았네요,예쁩니다쓰레기통없이 종량제 봉투에 그냥 담다가 하나 사봤어요예쁘고 심플해요,20리터 쓰레기통 그 어떤걸 사도 20리터 쓰레기봉투 입구가 맞는 쓰레기통은 없는것 같아요그냥 반쯤만 걸쳐놓고 사는거죠,20리터 쓰레기봉투 라고 표기되어있는데사각형이다보니 겨우겨우 끝에 맞춰서 끼우는 수준입니다,,,,,
ANAL-211104-0021,1,1,부들부들하고 소리가 안나요 좀큰데 그래도 효과는 100로 입니다,빠지지도 않고 저렴하고 너무 좋아요,의자발에딱맞아아주좋아요신축성이있어좋네요,,,,,,,
ANAL-211104-0171,0,0,좋아요,그릇,있어,그냥,선반,3.6,2.32,1.78,1.78,1.76
ANAL-211104-0171,1,0,그릇 정리도 너무 쉽고 꺼낼때도 편리하네요모노플랫 제품들 이번이 5번째인데 가격 대비 품질이 좋아서 다른것들도 구매하려고 합니다,잘쓰고있어요,하지만 선반 사이즈를 잘 재보시고 구매하세요우리집 선반은 폭이 넓다가 좁아지는 타입이라서 길이를 늘려서 쓰지를 못합니다,너무좋아요,사고 싶었어요,,,,,
ANAL-211104-0171,1,1,배송이 한세트만오고 배송상태 너무 별로였지만 상품은 좋으네요상품이 파손되어왔다면 최악이었을거같아요추가로 구매하고싶은데 또 그렇게 배송될거같아  망설여지네요,좋은것같아요처음 받았을때 제품 하나가 다리가 한쪽밖에 없어 불량인가 했는데이게 신의 한수같습니다제품이 두개가 한 세트라 겹쳐서  길이 조절은 하는거기 때문에다리가  두개씩 있었으면 하단부에 접시등 그릇을 보관할때 공간이 애매했을것 같은데  중간에 다리가 하나만 있으니 공간 사용감이 훨씬 좋은것 같습니다잘구매한것 같습니다,가격대비괜찮네요깔끔해요  일단 디자인 깔끔하구요만족합니다,냄비정리하고싶은분은꼭사세요삶의질이달라져요이 제품 사고나서주방 정리가 너무 쉬워졌어요후라이팬이랑 냄비 정리가 그렇게 안되고 쓸때마다 짜증났는데이 제품 쓰고 나니 냄비 높이 맞춰서 정리하기 좋아졌어요진작 살걸 후회되네요빨리 사세요 강추합니다,,,,,,
ANAL-211104-0077,0,0,좋아요,아기가,만족합니다,좋네요,재구매,19.59,6.67,6.21,4.55,4.5
ANAL-211104-0077,1,0,배송빠르고상품도 좋고,덜렁거릴때 성격급하게 열려고했더니 걸고리가 뜯어져서 재구매했어오,저렴하게 잘샀어요,아기가 서랍 열어서 잠금하려고 샀어요,가성비좋아요,,,,,
ANAL-211104-0077,0,1,아기가,좋아요,서랍,그냥,너무,10.15,7.24,4.88,4.84,4.7
ANAL-211104-0077,1,1,9개월애기가 이제 서랍을 열줄 알아서 구매했습니다튼튼하고 좋습니다,붙이자 마자 우리 딸은 바로 뜯어버리네요,접착력은생각보다떨어지는거같애요 구매동기 아기가자꾸냉장고문을열기시작할주알면서부터너무열어재껴가꼬 안전잠금이를구매하게되었네요,무당벌레  씽크대 가구랑도 잘 어울려요끈끈이 자국 님을까 걱정되서 설치 미뤘는데 한번 붙였다,첫째아이때 써봤던터라 고민없었고요 다만 흠이 있다면 처음에 구매하고 사용할땐 빡빡해서 열기 힘드네요,,,,,
ANAL-211104-0157,0,1,너무,걱정,아주,잠금,만족,1.6,1.37,1.34,1.34,1.28
ANAL-211104-0157,1,1,간편한 설치로 든든한 방범 창문이 됐어요,도움되요  밤에 잘때 혹시모를 대비로 붙였는데  단단하니 맘에 드네요,생각보다 더 단단하고 안정감 있게 잡아주네요,좋긴한데 한번 설치하면 제거하기가 어렵다는게 좀 아쉬워요,잘못붙임 떼시기힘들듯잘생각하시고 붙이셔야해요다른 문에두 해놔야겠어요또 구매의향 있어요다른분들도 이글보시면  고민안하셔두 될것같아요튼튼합니다쵝오예요,,,,,
ANAL-211104-0048,0,0,좋아요,좋네요,재구매,너무,모서리,33.65,8.93,8.9,6.57,6.21
ANAL-211104-0048,1,0,폭신하고 부드러워서 아이가 쿵 해도 안심이 될것 같아요,고대로 붙이면 안떨어지고 오래가요,잘사용하였고 길이가  짧은감이있지만 쓰고자하는 활용도에  잘썼네요,너무 잘 띠어지네요,잘사용하고있어요,,,,,
ANAL-211104-0048,0,1,좋아요,너무,아기가,모서리,붙이,19.23,18.97,12.55,12.43,10.63
ANAL-211104-0048,1,1,책상 밑도 뽀족해서 자꾸 머리에 부딫히더라두요 꼭 하루에 몇번은 넘어지고 무딫혀서 다치구  미리미리 예방차원에서 3개 더 구매햇네요,모서리공략하기아가가 이제 온 집안을 돌아다니면서 모서리에 자주 박고 다치고 있어서 추가로 구매했어요,접착력좋고푹신해요한 줄당 길고 얇은 양면테이프 한개 주시고요 붙이면 쓰기 좋아요,고급형 초슬림 둘 다 구매하여 사용하였는데 확실히 초슬림은 많이 약해요,초슬림이 있는것을 모르고 처음에는 제일 두꺼운것으로 했는데 나중에 미관상 좋지 않고초슬림만으로도 보호가 됨을 알고 요즘은 초슬림을 사용중입니다물론 아이가 어릴수록 두꺼운 타입을 쓰며 더 확실히 보호는 됩니다,,,,,
ANAL-211104-0072,0,0,아기,머리,좋아요,너무,아직,33.08,24.64,23.52,22.1,17.5
ANAL-211104-0072,1,0,잘받았습니다,코로나라 미용실 가기도걱정되고 배넷머리 밀어주기 위해서 구매했어요근데 너무 좋아요,6세 아이  4개월 아이  아빠에게도 잘라주었어요,잘랐는데 소음이나 진동도 적은편이어서 아기가 울지 않고 빠르게 자를 수 있어 좋아요초보맘인데도 예쁘게 머리 잘 다듬어지네요,아직 사용전인데  잘써볼게용근데 택배상자가 완전 다찌그러져서왔는데 일단고장안난지는 사용해봐야알것같네영 속에물품상자 뽁뽁이라도 좀해주시거나  상자에 딱맞게 포장을 해주심좋을것같아요,,,,,
ANAL-211104-0072,0,1,아이,머리,바로,위로,날을,2.32,2.06,1.88,1.44,1.08
ANAL-211104-0072,1,1,아이 머리에 날을 바로 대고 사용했는데 다침없이 울지않고 사용했구요,코로나이기도 하고아직 어려서 어차피 미용실가도 울고불고 할거 같아서 구매해봤구요,저소음아님소금 큼진동 큼방수이거 방수 맞나요,,,,,,,
ANAL-211104-0047,0,0,좋아요,너무,배송,모서리,접착력이,22.7,7.9,7.45,6.81,6.61
ANAL-211104-0047,1,0,투명해서 깔끔하구요,테잎이힘이없어서 가지고았던 3D테잎으로해결했어료,동봉된 양면테이프 못쓰겠어요,재구매좋아요,인테리어를 망치지않아서좋네요,,,,,
ANAL-211104-0047,0,1,좋아요,아기가,너무,모서리,붙이,17.76,13.2,11.03,9.18,5.68
ANAL-211104-0047,1,1,말려있던 관성 때문에 짧은 부분에 부착시 말려서 자꾸 떨어집니다,두깨가 좀 있는 편이네요아이가 짚고 일어서는 시기라서 꼭 필요할거 같아 구매했어요,쿠션감은 없지만 기존에 모서리보호대 쿠션감많은걸로 샀더니 아기가 너무 쉽게뜯고 이로 물어뜯고 해서 이걸로 다시 구매해서 부착했습니다,8개월 아기가 있어서 가구 모서리에 붙이려고 샀어요,투명이여서 별 색상 트러블은 없고 접착제도 잘붙어서 잘썼습니다,,,,,
ANAL-211104-0083,0,0,좋아요,콘센트,사이즈,아기가,생각보다,6.61,5.03,3.67,2.72,1.98
ANAL-211104-0083,1,0,기본 콘센트사이즈인데,좋아요,아기가 콘센트에 관심이 많아서 샀는데 저희 콘센트에는 안 맞네요,애기가못만져요이제자꾸코드뽑아서골치아팟는데 좋아며좋아요좋아요좋아요좋아요좋아요좋아요좋아요,콘센트 겉에 있는걸 뜯어내고 붙이니 맞고 뚜껑도 안닫혀 억지로 닫고 테이프붙였어요,,,,,
ANAL-211104-0083,0,1,콘센트,아기가,너무,사이즈,좋아요,8.72,5.54,5.25,4.62,3.77
ANAL-211104-0083,1,1,가로사이즈는 맞는데 세로사이즈가 너무 짧네요,사이즈를 안보고 샀더니안맞아서 못쓰고 있어요,최악사이즈가 안맞고요애기가 쉽게열고요상품평을 봤어야했는데 브랜드만 믿고 구매햇더니 낭패봤네요쓰지도못해요쓰레기만 늘었네요,보니 먼지도 더 잘 낄테고 무엇보다 콘센트에 꽂힌 제품들이 침대에 의해 꺽이고 그래서 불안불안했거든요그래서 고민끝에 구매했는데 구매하길 정말정말 잘한고같아요,저는 전기콘센트가 위쪽으로 되어 있어서 커버를 위 아래 반대로 설치했어요먼지 들어갈거 감안하고 아기 안전만 생각하고 설치참고로 콘센트 겉 덮개 사이즈보고 구매하세요기존 콘센트 덮개위에 2개가 안맞더라구요,,,,,
ANAL-211104-0292,1,1,깔끔하게 정리할 수 있고 가격도 적당해서 다 쓰면 또 구매할거같아요생각보다 튼튼해서 놀랍네요 잘 떨어지지도 않고 아주 좋습니다,,,,,,,,,
ANAL-211104-0203,0,0,쉽고,수납공간이,붙이기도,너무,들어,2.62,2.08,1.95,1.29,1.23
ANAL-211104-0203,1,0,수납공간이 너무나 부족한 원룸에 사는 친구에게 선물해 줬는데 너 무 맘에 들어하네요,붙이기도 쉽고,접착력도 좋은거같아요,책상 깔끔하게 치우고 살겠습니다,,,,,,
ANAL-211104-0252,0,1,사료,간식,28L,보관하,쌀통,1.86,1.72,1.34,0.83,0.79
ANAL-211104-0252,1,1,제품품질은만족하지만용량은표기보다적음긴글 싫어하는분  사료 10kg 보관하려 구매함 안들어감상세 강아지사료 10kg짜리 보관하려 구매하였음배송오고 사료 먹이던거 정말 아무리 많아야 9키로 될 듯 보관하려고 안에 쏟아부으니 다 안들어감많이남음남으사료 지퍼백애 보관하니 소형165cm x 149cm 5봉지나옴 가득채움M사이즈는 대략 78키로 들어간다,위에뚜껑오른쪽이자꾸뜹니다뚜껑 양옆에 누르는데도 부러질까봐 조심조심했는데힘세게주고 애들사료담고했는데 오른쪽이 자꾸 뜨길래 계속 힘줘도 그러더라고요 반품하기 귀찮고 당장 사료담을곳이 없어서 테이프라고 붙였는데 자꾸뜨네요,사람쌀통옆에 잇어서 가끔 헷갈려서 뚜껑 열기도해요 ㅋㅋㅋ,높이 8cm로 어떻게 두배가 넘는 용량 차이가 나는건지 물론 측정 하는 방식에 따라 다르겠지만 보통은 저 쌀통 처럼 물이 넘칠때 까지 측정 하는게 정석인데 부피로 따져도 28L 안나올 제품을 왜 28리터로 파는건지 모르겠네요,본체는 왔는데뚜껑이 안왔어요,,,,,
ANAL-211104-0280,0,0,좋아요,사이즈,변기,너무,배송도,6.83,5.06,4.23,4.16,3.04
ANAL-211104-0280,1,0,근데 저희변기 사이즈 보다 커서 사이즈 재보고 사는걸 처천드립니다,갠차늠요10000점 만점에 10000점 드리겟수다블랙이라 시크하고 고급진멋이지만가격대비로 따지면 괜찬은편임 존 쌈마이,감사합니다감사합니다감사합니다감사합니다감사합니다감사합니다감사합니다감사합니다감사합니다감사합니다감사합니다감사합니다감사합니다감사합니다,블랙이라 화이트보다 기스도 안보일거고때도 안타니 조아요사무실 화장실 갈은건데 훨씬 깨끗해보이고깔끔합니다,깔끔하네요,,,,,
ANAL-211104-0280,0,1,변기,좋아요,너무,그냥,사이즈,6.68,2.98,2.87,2.6,2.26
ANAL-211104-0280,1,1,싼데다 넘 이쁘기까지해요단 겨울이라 차가운건 어쩔수 없겠죠,추석연휴기도 하고 코로나로 나가기가 좀 그래서 주문했어요,와 사람돌아버리네 사람들후기에 자기들변기에 맞지않는다는후기보고 설마 내것도 방심했는데 내가걸림 범석이형이 자기네화장실변기커버에 이거 한번씌워보면 거래처 폭파시킬듯 하다,좋아요,두껑에  홈이 있으니  물이  흐르니  괜찮네요,,,,,
ANAL-211104-0297,0,1,깔끔하,너무,떨어지,튼튼하,사용,1.49,1.19,1.1,0.93,0.78
ANAL-211104-0297,1,1,한번 붙이면 일부러 제거하는거아니고서는 튼튼하게 붙어있어요사용한지 몇달됐는데 완전 만족입니다,정말 잘 떨어지고 가격도 비싸지만 사용 할 수가 없어요,이게 뭔가요접착면과 양면 테이프가 떠어지는거면 몰라도 후크와 양면테이프가 떨어지는건 뭔가요가벼운 가방필통과 얇은책한권 걸어놨는데 계속 떨어져요,일단일주일은문제엄따현관앞에 크리스마스 리스 달고 싶어서 주문했어요,난시크한블랙양면 접착테이프가 견고하면 잘 떨어지지않습니다,,,,,
ANAL-211104-0213,0,0,좋아요,구매,올려놓,,,1.38,1.0,0.97,,
ANAL-211104-0213,1,0,새상품이라하기엔 스크래치가 군데군데 있고 가격대비 엄청 잘산것같진 않지만 잘써보려구요,높이를 잘못봐서 쓰기애매해졌네요,다른 제품들도 구매해서 톤 맞추고 싶을정도입니다잘 쓰겠습니다,선반이 너무 튼튼해서 좋고 거기다 가벼우니 매력 만점이에요,,,,,,
ANAL-211104-0279,0,0,좋아요,저렴,만족,괜찮,가격,1.85,1.35,1.0,0.84,0.82
ANAL-211104-0279,1,0,전에 사용했는데 넘 오래돼서 다시 산건데 예전보다 좀 두터워진 느낌이에요그래서 커버가 올라가지 않아서 난감난감,맘에듭니다,친정 단독주택이라 필수에요,생각보다 더 크네요,좋네요,,,,,
ANAL-211104-0279,0,1,너무,시트,얇아,커버,변기,3.0,2.34,2.33,1.77,1.73
ANAL-211104-0279,1,1,너무성의없는 변기카바예요큰박스에 변기카바만달랑이건 낭비라고생각해요그리고 차이나 스티커룰 떼다가 카바가 찢어졌어요,넘 얇아서  겨우 스티카 띠었네요,소프트 엠보 변기 시트 커버가 얇아서인지 커버가 두 개 배송이 되었습니다 가정용 중형 변기에는 노랑이 시트 변기 커버가 조금 큰 편에 속하는 것 같아요,비데 금가서 덧붙여보려고 샀는데 넘 크네요,얇아서 아쉬워요,,,,,
ANAL-211104-0257,0,1,부서질듯살살,약해요,다루며,넘나약해요금방이라도,뚜껑이,4.07,3.77,2.99,2.55,2.01
ANAL-211104-0257,1,1,뚜껑에 있는 보관함은 닫히지가 않아서 쓸모가 없네요저는 2차 가공해서 잘 닫히게 해서 쓰고 있습니다,넘나약해요금방이라도 부서질듯살살 다루며 사용중ㅋ넘나 부실하고 약합니다,넘나약해요금방이라도 부서질듯살살 다루며 사용중넘나 부실하고 약합니다,,,,,,,
ANAL-211104-0220,0,0,튼튼하고,좋아요,생각보다,배송도,흔들,2.52,2.44,2.19,1.04,1.0
ANAL-211104-0220,1,0,깔끔하고 좋아요,저렴하니 내구성은 기대하면 안되겠지만 사진이랑 같아서 만족이에요,만족스러워요,튼튼하고 배송도 빠르고 완전 좋네요,괜찮아요,,,,,
ANAL-211104-0189,0,0,너무,정리,좋아요,깔끔하게,꺼내,2.94,1.8,1.76,1.47,0.61
ANAL-211104-0189,1,0,너무   정리되니 기분체고,정말 혁명입니다,좋어요,정리가 너무 잘 되요,너무 만족입니다,,,,,
ANAL-211104-0189,1,1,싱크대 상부장말고 밑에 서랍에 딱 맞는거 같네요10개 다들어가고 11개까지 들어가네요세로로 8개 가로로 3개 들어감,너무좋아요주방 깔끔하게 정리되서 너무 좋아요10개 딱 알맞게 잘 사용 했습니당종량제는 좀 접어 넣어야해서 귀찮지만한번 정리해두니 너무 좋습니다 강추여,은근 자리차지는 되는거 같은데 깔끔해 보이긴 합니다 아직 실 사용은 안 해봐서 그때그때 뽑아쓸때 어떨지는 잘 모르겠네요 정리하는 김에 다 정리해 놓고 싶은데 스몰이 품절이라 구매를 못했네요스몰 입고좀 해주세요,깔끔해졌어요서랍에있는 종이박스들을 치우고 싶어서 주문하게 됐어요갯수대비 저렴하다 생각되어 구매했구요설명서 하나없이 제품만있어서 처음에 좀 해맸지만가운데 지지대를 감싸듯이 비닐 및 장갑을 넣고 구멍에 쏙쏙 끼워넣으니 모양이 잡히더라구요혹시 저처럼 해매는 분이 계실까싶어 사진 올립니다스티커는 따로 구매하지 않고 집에있는 라벨을 출력해 붙였어요서랍정리하니 깔끔해졌네요,저희집과부모님댁걸로2세트샀어요제품 좋고요 저희껀 잘 왔는데 부모님댁에 하나만 달랑 왔대요 9개 더 보내주세요,,,,,
ANAL-211104-0023,0,0,좋아요,의자,만족합니다,소리,너무,16.37,6.01,5.73,5.09,5.01
ANAL-211104-0023,1,0,식탁은 무거워서 밀면 소리가 나는데 의자는 소리가 하나도 안나네요,한번 써보고 너무 맘에 들어서 추가로 더주문했어요,잘사용하겠습니다,아기가 있어 잘때 작은소리에도 민감해서 주문했어요일단 벗겨지지도안고 소리도안나서 넘넘좋요,사이즈 딱맞게 했더니 끼우는데 너무 힘들었어요여유있게 주문해도 되겠어요갈색식탁에 티안나고 소리도 없이 부드럽게 밀리네요,,,,,
ANAL-211104-0023,0,1,좋아요,의자,너무,소리,안나고,12.37,11.24,8.48,7.12,5.94
ANAL-211104-0023,1,1,바닥에는 부직포가 있어서 잘 미끄러져서 소리도 안나고 바닥이 긁히지도 않음,층간소음이 신경 쓰여서 식탁의자랑 식탁발캡 주문 했는데 넘 좋아요 소음이 없어요,기대안하고구매했는데너무좋아서일부러후기남겨요완전 굿입니다,소리 거의 안나고 부드럽고 인테리어도 안해치고 좋아요오래사용시 밑에 먼지 쌓여요 자주 닦아줘야됩니다,가격에비해품질개선이필요한제품이에요두껍고 유명해서 사봤는데  끼우기가 너무 힘들었어요,,,,,
ANAL-211104-0037,1,1,저희집 실크벽지인데 접착력도 좋고 잘 붙어 있어요,만족해요문콕방지 예방엔 최고만족합니다,,,,,,,,
ANAL-211104-0104,1,1,쓰기편해요,,,,,,,,,
ANAL-211104-0007,0,0,좋아요,너무,받았,배송,감사합니다,2.85,1.79,1.61,1.53,1.32
ANAL-211104-0007,1,0,사용을 해보니 안녕하세요집에 이사를 가면서 바람에 문이 잘 닫히고 해서검색을 하다가 지금 제품을 구매하게 되었습니다 가격도 괜찮고  일단 사용을 해보니  문에 잘 고정이 되고디자인도 귀엽고 마음에 듭니다,저렴해서 긴가민가 했는데 생각했던거보다 훨씬 짱짱하고 두꺼워요,혹시나 쿠션이 약할까 걱정했는데 전혀 약하지 않고 튼튼해요,굿굿 애기가 문에서 다칠거 같은 일이  종종 있어서  구매했는데 괜찮네요,배송 빠르게 잘 받았습니다,,,,,
ANAL-211104-0007,0,1,좋아요,문에,문이,전부,많이,4.14,3.86,3.73,2.19,1.98
ANAL-211104-0007,1,1,도어쿠션이 좀 딱딱하네요끼울때 겨우넣었어요,물건은 좋은데 울 아가가 물구 빨고  문에 끼워두면 달라고 짜증 엄청 내면서 울어요,오래쓰면 찢어진다고해야하나 갈라진다고해야하나 그래서 그냥 가성비 좋은걸로 여러개 구매했어요,가위로 입구를좀 짤라서 넓혔더니 딱 맞게들어갔고아예안빼고살려구요겨울에 빼야겠어요,집이 온통 그레이라서 좀 튀기는 하지만 그래도 문 닫길때 혹시나 아기 손가락이 낄수도 있고 문이 쾅쾅 닫기는것도 방지할것 같아 잘 쓰일것 같아요제품은 생각보다 두툼하고 짱짱한것 같아요,,,,,
ANAL-211104-0183,0,0,마음에,너무,좋아요,쉽고,살짝,2.75,2.64,2.18,2.03,1.79
ANAL-211104-0183,1,0,기둥 이어지는 부분이 약해요,조금 수평이 안맞는건지 스티커를 붙여그런건지 흔들거리긴 하는데 넘어질 정도는 아니라 괜찮아요,조립도 쉽고 너무 예뻐요 다만 조립해놓고 보니 양 끝의 튀어나온 부분의 수평이 살짝 안맞는다는 점이 조금 아쉬워요,딱 제가 생각한 대로 크기도 작고 심플해서 마음에 들어요,감사 합니다,,,,,
ANAL-211104-0183,0,1,옷을,걸고빼면,그냥,좋네요,오른쪽,2.69,2.16,1.87,1.56,1.43
