REVIEW_DOC_NO,ANAL_CODE,CLASSIFY,EMPATHY,EMPATHY_SCORE
RVD-220107-0040529,ANAL-211104-0155,사용성,바람,4
RVD-220107-0040526,ANAL-211104-0155,사용성,행복,5
RVD-220107-0040525,ANAL-211104-0155,사용성,만족,4
RVD-220107-0040524,ANAL-211104-0155,사용성,즐거움,5
RVD-220107-0040523,ANAL-211104-0155,사용성,고마움,4
RVD-220107-0040509,ANAL-211104-0115,사용성,바람,4
RVD-220107-0040508,ANAL-211104-0115,사용성,고마움,4
RVD-220107-0040507,ANAL-211104-0115,사용성,안타까움,2
RVD-220107-0040506,ANAL-211104-0115,사용성,중립,3
RVD-220107-0040505,ANAL-211104-0126,사용성,만족,4
RVD-220107-0040384,ANAL-211104-0270,사용성,중립,3
RVD-220107-0040383,ANAL-211104-0270,사용성,중립,3
RVD-220107-0040382,ANAL-211104-0270,사용성,만족,4
RVD-220107-0040381,ANAL-211104-0269,사용성,바람,4
RVD-220107-0040380,ANAL-211104-0129,사용성,중립,3
RVD-220107-0040379,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040377,ANAL-211104-0129,사용성,중립,3
RVD-220107-0040376,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040375,ANAL-211104-0136,사용성,자신감,5
RVD-220107-0040374,ANAL-211104-0129,사용성,만족,4
RVD-220107-0040373,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040372,ANAL-211104-0136,사용성,실망,1
RVD-220107-0040371,ANAL-211104-0136,디자인,만족,4
RVD-220107-0040370,ANAL-211104-0129,디자인,만족,4
RVD-220107-0040369,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040368,ANAL-211104-0136,사용성,자신감,5
RVD-220107-0040367,ANAL-211104-0136,사용성,기쁨,5
RVD-220107-0040366,ANAL-211104-0136,사용성,행복,5
RVD-220107-0040365,ANAL-211104-0136,사용성,행복,5
RVD-220107-0040364,ANAL-211104-0129,사용성,중립,3
RVD-220107-0040363,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040362,ANAL-211104-0129,사용성,고마움,4
RVD-220107-0040361,ANAL-211104-0136,사용성,고마움,4
RVD-220107-0040360,ANAL-211104-0136,디자인,만족,4
RVD-220107-0040359,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040358,ANAL-211104-0136,사용성,행복,5
RVD-220107-0040357,ANAL-211104-0136,제품상태,만족,4
RVD-220107-0040356,ANAL-211104-0136,사용성,자신감,5
RVD-220107-0040355,ANAL-211104-0129,사용성,만족,4
RVD-220107-0040354,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040353,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040352,ANAL-211104-0136,사용성,바람,4
RVD-220107-0040351,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040350,ANAL-211104-0129,사용성,중립,3
RVD-220107-0040349,ANAL-211104-0136,가격,놀람,4
RVD-220107-0040348,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040347,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040346,ANAL-211104-0129,사용성,만족,4
RVD-220107-0040345,ANAL-211104-0136,사용성,싫음,1
RVD-220107-0040344,ANAL-211104-0136,제품상태,불안,2
RVD-220107-0040343,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040342,ANAL-211104-0129,사용성,바람,4
RVD-220107-0040341,ANAL-211104-0136,사용성,슬픔,2
RVD-220107-0040340,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040339,ANAL-211104-0129,사용성,슬픔,2
RVD-220107-0040338,ANAL-211104-0136,사용성,기쁨,5
RVD-220107-0040337,ANAL-211104-0129,재질,만족,4
RVD-220107-0040336,ANAL-211104-0136,사용성,싫음,1
RVD-220107-0040334,ANAL-211104-0129,사용성,기쁨,5
RVD-220107-0040333,ANAL-211104-0136,사용성,기쁨,5
RVD-220107-0040332,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040331,ANAL-211104-0129,사용성,즐거움,5
RVD-220107-0040330,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040329,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040328,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040327,ANAL-211104-0129,사용성,만족,4
RVD-220107-0040326,ANAL-211104-0129,사용성,즐거움,5
RVD-220107-0040324,ANAL-211104-0129,사용성,중립,3
RVD-220107-0040323,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040322,ANAL-211104-0136,사용성,행복,5
RVD-220107-0040321,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040320,ANAL-211104-0136,사용성,괴로움,2
RVD-220107-0040319,ANAL-211104-0129,사용성,만족,4
RVD-220107-0040318,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040317,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040316,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040314,ANAL-211104-0136,사용성,자신감,5
RVD-220107-0040311,ANAL-211104-0129,사용성,만족,4
RVD-220107-0040306,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040300,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040299,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040295,ANAL-211104-0136,디자인,중립,3
RVD-220107-0040293,ANAL-211104-0129,사용성,자신감,5
RVD-220107-0040289,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040288,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040287,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040285,ANAL-211104-0129,사용성,싫음,1
RVD-220107-0040284,ANAL-211104-0136,사용성,행복,5
RVD-220107-0040283,ANAL-211104-0136,사용성,만족,4
RVD-220107-0040282,ANAL-211104-0129,사용성,만족,4
RVD-220107-0040281,ANAL-211104-0129,사용성,중립,3
RVD-220107-0040278,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040277,ANAL-211104-0136,사용성,중립,3
RVD-220107-0040276,ANAL-211104-0129,사용성,중립,3
RVD-220107-0040275,ANAL-211104-0053,사용성,중립,3
RVD-220107-0040274,ANAL-211104-0053,사용성,행복,5
RVD-220107-0040273,ANAL-211104-0053,사용성,중립,3
RVD-220107-0040272,ANAL-211104-0053,사용성,만족,4
RVD-220107-0039349,ANAL-211104-0152,사용성,만족,4
RVD-220107-0039348,ANAL-211104-0152,디자인,만족,4
RVD-220107-0039347,ANAL-211104-0152,사용성,만족,4
RVD-220107-0039346,ANAL-211104-0152,사용성,놀람,4
RVD-220107-0039345,ANAL-211104-0152,사용성,만족,4
RVD-220107-0039344,ANAL-211104-0152,사용성,만족,4
RVD-220107-0039342,ANAL-211104-0023,사용성,중립,3
RVD-220107-0039327,ANAL-211104-0049,사용성,행복,5
RVD-220107-0039326,ALL,사용성,중립,3
RVD-220107-0039322,ANAL-211104-0056,사용성,행복,5
RVD-220107-0039320,ANAL-211104-0049,사용성,만족,4
RVD-220107-0039319,ALL,사용성,만족,4
RVD-220107-0039317,ANAL-211104-0052,사용성,만족,4
RVD-220107-0039315,ANAL-211104-0055,사용성,불안,2
RVD-220107-0039314,ANAL-211104-0055,사용성,만족,4
RVD-220107-0039308,ANAL-211104-0048,사용성,기쁨,5
RVD-220107-0039307,ANAL-211104-0056,디자인,만족,4
RVD-220107-0039303,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039301,ANAL-211104-0049,사용성,슬픔,2
RVD-220107-0039293,ALL,사용성,만족,4
RVD-220107-0039292,ALL,사용성,만족,4
RVD-220107-0039291,ANAL-211104-0052,사용성,만족,4
RVD-220107-0039290,ANAL-211104-0052,사용성,중립,3
RVD-220107-0039288,ANAL-211104-0050,사용성,만족,4
RVD-220107-0039287,ANAL-211104-0050,사용성,중립,3
RVD-220107-0039285,ANAL-211104-0055,사용성,만족,4
RVD-220107-0039284,ANAL-211104-0050,사용성,만족,4
RVD-220107-0039282,ANAL-211104-0058,사용성,만족,4
RVD-220107-0039281,ANAL-211104-0049,사용성,만족,4
RVD-220107-0039280,ANAL-211104-0056,사용성,행복,5
RVD-220107-0039279,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039278,ANAL-211104-0050,디자인,안타까움,2
RVD-220107-0039276,ALL,디자인,안타까움,2
RVD-220107-0039274,ANAL-211104-0050,사용성,중립,3
RVD-220107-0039259,ANAL-211104-0048,사용성,만족,4
RVD-220107-0039251,ANAL-211104-0050,가격,만족,4
RVD-220107-0039247,ALL,사용성,불안,2
RVD-220107-0039238,ALL,사용성,중립,3
RVD-220107-0039236,ANAL-211104-0050,사용성,고마움,4
RVD-220107-0039231,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039218,ANAL-211104-0049,사용성,만족,4
RVD-220107-0039215,ANAL-211104-0054,사용성,만족,4
RVD-220107-0039211,ANAL-211104-0056,사용성,중립,3
RVD-220107-0039206,ANAL-211104-0049,재질,만족,4
RVD-220107-0039203,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039198,ANAL-211104-0054,사용성,중립,3
RVD-220107-0039197,ANAL-211104-0049,사용성,만족,4
RVD-220107-0039196,ALL,사용성,중립,3
RVD-220107-0039188,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039187,ANAL-211104-0050,사용성,중립,3
RVD-220107-0039186,ALL,사용성,중립,3
RVD-220107-0039184,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039181,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039176,ALL,사용성,불안,2
RVD-220107-0039175,ANAL-211104-0050,사용성,만족,4
RVD-220107-0039174,ANAL-211104-0056,사용성,만족,4
RVD-220107-0039173,ANAL-211104-0052,사용성,바람,4
RVD-220107-0039172,ALL,사용성,기쁨,5
RVD-220107-0039169,ANAL-211104-0055,사용성,중립,3
RVD-220107-0039168,ANAL-211104-0054,사용성,중립,3
RVD-220107-0039167,ANAL-211104-0048,사용성,설렘,4
RVD-220107-0039165,ANAL-211104-0050,사용성,중립,3
RVD-220107-0039163,ANAL-211104-0058,사용성,중립,3
RVD-220107-0039162,ALL,사용성,중립,3
RVD-220107-0039161,ALL,사용성,행복,5
RVD-220107-0039160,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039159,ANAL-211104-0050,사용성,만족,4
RVD-220107-0039158,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039157,ANAL-211104-0049,사용성,중립,3
RVD-220107-0039152,ANAL-211104-0050,사용성,중립,3
RVD-220107-0039149,ALL,사용성,중립,3
RVD-220107-0039146,ANAL-211104-0050,사용성,중립,3
RVD-220107-0039138,ANAL-211104-0049,디자인,중립,3
RVD-220107-0039136,ANAL-211104-0055,사용성,중립,3
RVD-220107-0039135,ANAL-211104-0050,디자인,만족,4
RVD-220107-0039134,ANAL-211104-0050,사용성,만족,4
RVD-220107-0039133,ANAL-211104-0049,사용성,놀람,4
RVD-220107-0039132,ANAL-211104-0050,사용성,중립,3
RVD-220107-0039131,ANAL-211104-0050,사용성,만족,4
RVD-220107-0039130,ANAL-211104-0056,사용성,안타까움,2
RVD-220107-0039128,ALL,사용성,만족,4
RVD-220107-0039127,ALL,사용성,만족,4
RVD-220107-0039126,ALL,사용성,자신감,5
RVD-220107-0039125,ANAL-211104-0049,사용성,바람,4
RVD-220107-0039124,ANAL-211104-0049,사용성,만족,4
RVD-220107-0039123,ANAL-211104-0077,사용성,중립,3
RVD-220107-0039120,ANAL-211104-0049,사용성,만족,4
RVD-220107-0039117,ANAL-211104-0058,가격,만족,4
RVD-220107-0039116,ANAL-211104-0054,가격,만족,4
RVD-220107-0039115,ALL,가격,만족,4
RVD-220107-0039113,ANAL-211104-0049,가격,만족,4
RVD-220107-0039112,ALL,사용성,만족,4
RVD-220107-0039111,ANAL-211104-0052,제품상태,만족,4
RVD-220107-0039109,ANAL-211104-0048,사용성,안타까움,2
RVD-220107-0039108,ANAL-211104-0050,사용성,안타까움,2
